sample_nr,time_block,education_bias
1,1,0.0034549087285995483
1,2,-0.015984967350959778
1,3,-0.02453090250492096
1,4,-0.029305294156074524
2,1,-0.03450314700603485
2,2,-0.015057682991027832
2,3,-0.022230520844459534
2,4,-0.022216930985450745
3,1,-0.018119707703590393
3,2,-0.020965591073036194
3,3,-0.025910794734954834
3,4,-0.03607703745365143
4,1,-0.028229013085365295
4,2,-0.01912929117679596
4,3,-0.020457997918128967
4,4,-0.024174034595489502
5,1,-0.002484560012817383
5,2,-0.009059682488441467
5,3,-0.017851993441581726
5,4,-0.025193676352500916
6,1,-0.0050817131996154785
6,2,-0.009909048676490784
6,3,-0.016134947538375854
6,4,-0.014068663120269775
7,1,-0.026884451508522034
7,2,-0.011886820197105408
7,3,-0.013513192534446716
7,4,-0.02263258397579193
8,1,-0.0065573155879974365
8,2,-0.024499312043190002
8,3,-0.020206689834594727
8,4,-0.027846768498420715
9,1,-0.002016007900238037
9,2,-0.010548889636993408
9,3,-0.01748235523700714
9,4,-0.01811768114566803
10,1,-0.00829741358757019
10,2,-0.02392326295375824
10,3,-0.026808515191078186
10,4,-0.03128041326999664
11,1,0.011647999286651611
11,2,0.011799082159996033
11,3,0.003150761127471924
11,4,-0.005776718258857727
12,1,-0.0043087005615234375
12,2,-0.0028046071529388428
12,3,-0.011501803994178772
12,4,-0.020988404750823975
13,1,-0.01590229570865631
13,2,-0.02495841681957245
13,3,-0.018703490495681763
13,4,-0.016929954290390015
14,1,-0.0282193124294281
14,2,-0.027830064296722412
14,3,-0.02545112371444702
14,4,-0.03111034631729126
15,1,0.012016445398330688
15,2,0.006514325737953186
15,3,0.006330356001853943
15,4,0.0029486417770385742
16,1,-0.02052326500415802
16,2,-0.030113980174064636
16,3,-0.029989182949066162
16,4,-0.031618744134902954
17,1,-0.004097774624824524
17,2,-0.0038226544857025146
17,3,0.0014382004737854004
17,4,-0.01197563111782074
18,1,-0.007089301943778992
18,2,-0.008020460605621338
18,3,-0.009774059057235718
18,4,-0.010914623737335205
19,1,-0.02665168046951294
19,2,-0.018911689519882202
19,3,-0.025417909026145935
19,4,-0.024840623140335083
20,1,-0.003376021981239319
20,2,-0.0009971410036087036
20,3,-0.013314887881278992
20,4,-0.013000652194023132
21,1,-0.02056291699409485
21,2,-0.020126506686210632
21,3,-0.017566204071044922
21,4,-0.018198177218437195
22,1,-0.007971182465553284
22,2,-0.014328286051750183
22,3,-0.028159305453300476
22,4,-0.031148239970207214
23,1,-0.008833810687065125
23,2,-0.015210717916488647
23,3,-0.02096956968307495
23,4,-0.021499380469322205
24,1,-0.02237147092819214
24,2,-0.006519407033920288
24,3,-0.02320675551891327
24,4,-0.022307470440864563
25,1,-0.00996139645576477
25,2,-0.0006382018327713013
25,3,-0.00216732919216156
25,4,-0.004906952381134033
26,1,-0.024017736315727234
26,2,-0.00866881012916565
26,3,-0.012382477521896362
26,4,-0.011845871806144714
27,1,-0.010029524564743042
27,2,-0.01277710497379303
27,3,-0.017770975828170776
27,4,-0.01664745807647705
28,1,-0.007578462362289429
28,2,-0.014322936534881592
28,3,-0.007493376731872559
28,4,-0.005187094211578369
29,1,0.001060187816619873
29,2,-0.014454156160354614
29,3,0.002455979585647583
29,4,0.00011244416236877441
30,1,-0.017484992742538452
30,2,-0.03240141272544861
30,3,-0.03109888732433319
30,4,-0.026111915707588196
31,1,-0.02283589541912079
31,2,-0.02812403440475464
31,3,-0.02855522930622101
31,4,-0.02692095935344696
32,1,-0.003364875912666321
32,2,-0.007121771574020386
32,3,-0.014524132013320923
32,4,-0.02256166934967041
33,1,-0.017040282487869263
33,2,-0.029800936579704285
33,3,-0.034862369298934937
33,4,-0.03324761986732483
34,1,0.003313422203063965
34,2,-0.0179501473903656
34,3,-0.01919834315776825
34,4,-0.025293678045272827
35,1,-0.016734272241592407
35,2,-0.009531527757644653
35,3,-0.02186371386051178
35,4,-0.028227627277374268
36,1,-0.0038699954748153687
36,2,2.841651439666748e-05
36,3,-0.00844523310661316
36,4,-0.019216150045394897
37,1,-0.016632452607154846
37,2,-0.03413262963294983
37,3,-0.03612038493156433
37,4,-0.027081385254859924
38,1,-0.01011037826538086
38,2,-0.026359647512435913
38,3,-0.01829095184803009
38,4,-0.022831618785858154
39,1,-0.005290284752845764
39,2,-0.017389237880706787
39,3,-9.232759475708008e-05
39,4,-0.00962240993976593
40,1,-0.01567298173904419
40,2,-0.020371362566947937
40,3,-0.024179577827453613
40,4,-0.020078256726264954
41,1,0.005717530846595764
41,2,0.0038916468620300293
41,3,0.011891886591911316
41,4,0.014817580580711365
42,1,-0.009095907211303711
42,2,-0.018090590834617615
42,3,-0.027098506689071655
42,4,-0.0358540415763855
43,1,-0.010679900646209717
